date,inflation,unemployment,interest_rate,industrial_production,log_inflation,log_industrial_production
1966-06-01,32.38,3.8,5.17,34.4403,3.477540948249489,3.539227390322985
1966-07-01,32.45,3.8,5.3,34.6288,3.479700443150099,3.544685705778128
1966-08-01,32.65,3.8,5.53,34.6557,3.48584485572244,3.545462214271417
1966-09-01,32.75,3.7,5.4,34.9789,3.488902962081261,3.5547450225551227
1966-10-01,32.85,3.7,5.53,35.2212,3.4919517449306197,3.561648174037894
1966-11-01,32.88,3.6,5.76,34.9788,3.492864570187979,3.5547421636846908
1966-12-01,32.92,3.8,5.4,35.0596,3.494080375808869,3.557049470414885
1967-01-01,32.9,3.9,4.94,35.225,3.493472657771326,3.561756057784744
1967-02-01,33,3.8,5,34.8255,3.4965075614664802,3.5503498770645963
1967-03-01,33,3.8,4.53,34.6292,3.4965075614664802,3.5446972567902852
1967-04-01,33.1,3.8,4.05,34.9558,3.4995332823830174,3.5540844062705004
1967-05-01,33.1,3.8,3.94,34.6508,3.4995332823830174,3.545320813392476
1967-06-01,33.3,3.9,3.98,34.6465,3.505557396986398,3.5451967104330384
1967-07-01,33.4,3.8,3.79,34.5676,3.5085558999826545,3.5429168271671725
1967-08-01,33.5,3.8,3.9,35.2299,3.5115454388310208,3.5618951538591945
1967-09-01,33.6,3.8,3.99,35.1727,3.5145260669691587,3.5602702135136375
1967-10-01,33.7,4,3.88,35.4591,3.517497837358316,3.568379919613306
1967-11-01,33.9,3.9,4.13,35.9663,3.5234150143864045,3.582582388919361
1967-12-01,34,3.8,4.51,36.3536,3.5263605246161616,3.5932932362146017
1968-01-01,34.1,3.7,4.61,36.3145,3.529297384289471,3.5922171105480905
1968-02-01,34.2,3.8,4.71,36.4446,3.5322256440685598,3.5957932993314983
1968-03-01,34.3,3.7,5.05,36.5584,3.535145354171894,3.5989109819521428
1968-04-01,34.4,3.5,5.76,36.6113,3.5380565643793527,3.600356935925355
1968-05-01,34.5,3.5,6.12,37.022,3.5409593240373143,3.611512330537493
1968-06-01,34.7,3.7,6.07,37.158,3.5467396869528134,3.615179091183979
1968-07-01,34.9,3.7,6.03,37.101,3.5524868292083815,3.6136439234280298
1968-08-01,35,3.5,6.03,37.2045,3.5553480614894135,3.616429721705029
1968-09-01,35.1,3.4,5.78,37.3454,3.55820113047182,3.6202097446902144
1968-10-01,35.3,3.4,5.91,37.4196,3.563882963939251,3.6221946313179396
1968-11-01,35.4,3.4,5.82,37.9036,3.5667118201397288,3.6350460943848075
1968-12-01,35.6,3.4,6.02,38.0233,3.572345637857985,3.638199129716627
1969-01-01,35.7,3.4,6.3,38.2533,3.5751506887855933,3.6442298310609176
1969-02-01,35.8,3.4,6.61,38.4981,3.5779478934066544,3.6506088894266044
1969-03-01,36.1,3.4,6.79,38.8,3.586292865338835,3.6584202466292277
1969-04-01,36.3,3.4,7.41,38.6573,3.591817741270805,3.6547356317137627
1969-05-01,36.4,3.4,8.67,38.5111,3.594568774642695,3.6509465114282222
1969-06-01,36.6,3.5,8.9,38.8874,3.6000482404073204,3.6606702907000375
1969-07-01,36.8,3.5,8.61,39.0927,3.6054978451748854,3.6659357487932986
1969-08-01,36.9,3.5,9.19,39.1825,3.6082115510464816,3.668230218546086
1969-09-01,37.1,3.7,9.15,39.1737,3.6136169696133895,3.6680056032626243
1969-10-01,37.3,3.7,9,39.1852,3.6189933266497696,3.668299124485678
1969-11-01,37.5,3.5,8.85,38.8158,3.624340932976365,3.6588273802339386
1969-12-01,37.7,3.5,8.97,38.7116,3.629660094453965,3.656139296724264
1970-01-01,37.9,3.9,8.98,37.9948,3.634951112088381,3.6374493082573873
1970-02-01,38.1,4.2,8.98,37.9698,3.6402142821326553,3.6367911069135364
1970-03-01,38.3,4.4,7.76,37.9205,3.6454498961866,3.6354918629538995
1970-04-01,38.5,4.6,8.1,37.823,3.6506582412937387,3.632917383193866
1970-05-01,38.6,4.8,7.95,37.7789,3.653252276470785,3.6317507457151295
1970-06-01,38.8,4.9,7.61,37.6567,3.6584202466292277,3.6285108932610948
1970-07-01,38.9,5,7.21,37.7491,3.6609942506244004,3.6309616343512285
1970-08-01,39,5.1,6.62,37.6818,3.6635616461296463,3.629177219267816
1970-09-01,39.2,5.4,6.29,37.4221,3.6686767467964168,3.6222614389933647
1970-10-01,39.4,5.5,6.2,36.6735,3.673765816303888,3.602054423397125
1970-11-01,39.6,5.9,5.6,36.4514,3.6788291182604347,3.5959798664962186
1970-12-01,39.8,6.1,4.9,37.2885,3.6838669122903918,3.6186849681202076
1971-01-01,39.9,5.9,4.14,37.5753,3.686376323895818,3.626346919639102
1971-02-01,39.9,5.9,3.72,37.5037,3.686376323895818,3.6244395947757964
1971-03-01,40,6,3.71,37.4631,3.6888794541139363,3.6233564485305427
1971-04-01,40.1,5.9,4.16,37.6735,3.6913763343125234,3.6289569295195547
1971-05-01,40.3,5.9,4.63,37.8646,3.696351468952637,3.6340166386647486
1971-06-01,40.5,5.9,4.91,38.0234,3.7013019741124933,3.6382017596795313
1971-07-01,40.6,6,5.31,37.9131,3.703768066607687,3.6352966988044066
1971-08-01,40.7,6.1,5.57,37.693,3.7062280924485496,3.6294744008213966
1971-09-01,40.8,6,5.55,38.3056,3.708682081410116,3.6455960995975776
1971-10-01,40.9,5.8,5.2,38.5924,3.711130063048756,3.65305536589346
1971-11-01,41,6,4.91,38.756100000000004,3.713572066704308,3.6572881627650684
1971-12-01,41.1,6,4.14,39.2035,3.716008121502189,3.6687660285249706
1972-01-01,41.2,5.8,3.51,40.1408,3.7184382563554808,3.692393273413733
1972-02-01,41.4,5.7,3.3,40.5459,3.7232808808312687,3.7024346657084273
1972-03-01,41.4,5.8,3.83,40.8263,3.7232808808312687,3.7093264815828566
1972-04-01,41.5,5.7,4.17,41.2348,3.7256934272366524,3.719282560024981
1972-05-01,41.6,5.7,4.27,41.2405,3.728100167267218,3.7194207832265715
1972-06-01,41.7,5.7,4.46,41.3497,3.730501128804756,3.7220651663043247
1972-07-01,41.8,5.6,4.55,41.3035,3.7328963395307104,3.7209472421389798
1972-08-01,41.9,5.6,4.81,41.879,3.735285826928092,3.7347845079713173
1972-09-01,42.1,5.5,4.87,42.2132,3.7400477406883357,3.742732968339962
1972-10-01,42.2,5.6,5.05,42.7494,3.742420221041966,3.755355160196557
1972-11-01,42.4,5.3,5.06,43.2548,3.7471483622379123,3.767108209878728
1972-12-01,42.5,5.2,5.33,43.7367,3.7495040759303713,3.7781875665862565
1973-01-01,42.7,4.9,5.94,44.0529,3.754198920234579,3.7853911844944355
1973-02-01,43,5,6.58,44.6827,3.7612001156935624,3.7995864020976686
1973-03-01,43.4,4.9,7.09,44.7045,3.7704594411063592,3.8000741676934635
1973-04-01,43.7,5,7.12,44.6387,3.7773481021015445,3.7986011957852064
1973-05-01,43.9,4.9,7.84,44.9429,3.7819143200811256,3.805392795160272
1973-06-01,44.2,4.9,8.49,45.0035,3.7887247890836524,3.806740264523563
1973-07-01,44.2,4.8,10.4,45.1636,3.7887247890836524,3.8102914526675953
1973-08-01,45,4.8,10.5,45.1019,3.8066624897703196,3.808924374224352
1973-09-01,45.2,4.8,10.78,45.4624,3.8110970868381857,3.816885610695621
1973-10-01,45.6,4.6,10.01,45.847,3.8199077165203406,3.8253097658093353
1973-11-01,45.9,4.8,10.03,46.0553,3.8264651170664994,3.8298428483696942
1973-12-01,46.3,4.9,9.95,45.923,3.835141961092188,3.8269660808877863
1974-01-01,46.8,5.1,9.65,45.6204,3.845883202923601,3.820354984901976
1974-02-01,47.3,5.2,8.97,45.4759,3.856510295497887,3.8171825153023526
1974-03-01,47.8,5.1,9.35,45.4777,3.86702563949741,3.8172220959236856
1974-04-01,48.1,5.1,10.51,45.3451,3.8732821771117156,3.8143021222119082
1974-05-01,48.6,5.1,11.31,45.7044,3.883623530906448,3.8221945733530562
1974-06-01,49,5.4,11.93,45.6238,3.8918202981106265,3.8204295101869055
1974-07-01,49.3,5.5,12.92,45.7221,3.8979240810486444,3.8225817696303093
1974-08-01,49.9,5.5,12.01,45.2366,3.910021002757473,3.8119064936933342
1974-09-01,50.6,5.9,11.34,45.2365,3.92395157629342,3.811904283091509
1974-10-01,51,6,10.06,45.1133,3.9318256327243257,3.8091771032558386
1974-11-01,51.5,6.6,9.45,43.6278,3.9415818076696905,3.775694561844015
1974-12-01,51.9,7.2,8.53,42.0533,3.949318790171843,3.738937861342098
1975-01-01,52.3,8.1,7.13,41.4676,3.9569963710708773,3.7249123994222524
1975-02-01,52.6,8.1,6.24,40.5165,3.9627161197436642,3.701709298552037
1975-03-01,52.8,8.6,5.54,40.0638,3.966511190712216,3.6904731834523936
1975-04-01,53,8.8,5.49,40.1573,3.970291913552122,3.6928042420476666
1975-05-01,53.1,9,5.22,40.0253,3.9721769282478934,3.6895117541701166
1975-06-01,53.5,8.8,5.55,40.2772,3.979681653901961,3.695785552028036
1975-07-01,54,8.6,6.1,40.6994,3.9889840465642745,3.7062133503251427
1975-08-01,54.2,8.4,6.14,41.0998,3.9926809084456005,3.7160032553103006
1975-09-01,54.6,8.4,6.24,41.6304,4.000033882750859,3.728830669616164
1975-10-01,54.9,8.4,5.82,41.8135,4.005513348515485,3.733219253895432
1975-11-01,55.3,8.3,5.22,41.8697,4.012772908528289,3.734562414970752
1975-12-01,55.6,8.2,5.2,42.4414,4.018183201256536,3.7481243009491068
1976-01-01,55.8,7.9,4.87,43.0012,4.021773869387265,3.761228022280914
1976-02-01,55.9,7.7,4.77,43.4229,4.023564380161053,3.7709869517177537
1976-03-01,56,7.6,4.84,43.5168,4.02535169073515,3.7731470704325027
1976-04-01,56.1,7.7,4.82,43.7327,4.027135812528651,3.778096106029701
1976-05-01,56.4,7.4,5.29,43.9186,4.032469158504013,3.7823379205547867
1976-06-01,56.7,7.6,5.48,43.9637,4.037774210733707,3.7833642934184732
1976-07-01,57,7.8,5.31,44.2141,4.04305126783455,3.789043742737414
1976-08-01,57.3,7.8,5.29,44.5182,4.048300623720694,3.795898094323132
1976-09-01,57.6,7.6,5.25,44.6721,4.053522567701846,3.7993491456760835
1976-10-01,57.9,7.7,5.02,44.6585,4.05871738457895,3.7990446587454
1976-11-01,58.1,7.8,4.95,45.3392,4.062165663857866,3.814172000459668
1976-12-01,58.4,7.8,4.65,45.8294,4.067315889834181,3.8249258065741074
1977-01-01,58.7,7.5,4.61,45.5087,4.072439726834051,3.8179035164700426
1977-02-01,59.3,7.6,4.68,46.2277,4.08260930600368,3.833579185518719
1977-03-01,59.6,7.4,4.69,46.8185,4.087655574071304,3.846278423958777
1977-04-01,60,7.2,4.73,47.2684,4.0943445622221,3.8558419961256636
1977-05-01,60.2,7,5.35,47.6411,4.097672352314776,3.8636958340610033
1977-06-01,60.5,7.2,5.39,48.0116,4.102643365036796,3.8714426483778723
1977-07-01,60.8,6.9,5.42,48.073,4.107589788972121,3.8727206889454036
1977-08-01,61.1,7,5.9,48.1205,4.11251186617755,3.873708281742437
1977-09-01,61.3,6.8,6.14,48.3189,4.115779842942166,3.877822788466773
1977-10-01,61.6,6.8,6.47,48.3871,4.120661870539474,3.87923324927182
1977-11-01,62,6.8,6.51,48.4761,4.127134385045092,3.8810708929805884
1977-12-01,62.3,6.4,6.56,48.5629,4.131961425793407,3.882859864902181
1978-01-01,62.7,6.4,6.7,47.8481,4.138361447638875,3.8680314096915853
1978-02-01,63,6.3,6.78,48.1044,4.143134726391533,3.873373649019509
1978-03-01,63.4,6.3,6.79,49.0265,4.14946386144318,3.892360968248713
